Island,Areakm2,WildBeeAbundanceSt,HoneyBeePopulation
Delos,3.4,118.266,0
Folegandros,32.4,277.5998889,436.3636364
Anafi,38.636,636.44,1078.090909
Serifos,75.207,640.2296667,817.8181818
Santorini,76.19,437.64175,772.1818182
Syros,84.069,111.1636667,1265.909091
Mykonos,86.125,54.03633333,239.5454545
Kythnos,99.432,99.432,2558.090909
Ios,108.713,285.024,3454.090909
Kea,131.693,301.804,3484.090909
Milos,151,107.8563333,1064.363636
Tinos,194.59,328.9062,2342.727273
Paros,196.308,68.871,2296.363636